title,date,link
How to Sell Your Phone Safely,"Tue, 01 May 2018 04:50:23 GMT",https://www.nytimes.com/2018/05/01/smarter-living/how-to-sell-your-phone-safely.html
"Your Money Adviser: For Workers Without Retirement Savings, State-Run I.R.A.s Can Pay Off","Sat, 21 Apr 2018 03:59:59 GMT",https://www.nytimes.com/2018/04/20/your-money/state-retirement-accounts.html
How Your Brain Can Trick You Into Trusting People,"Mon, 30 Apr 2018 03:55:33 GMT",https://www.nytimes.com/2018/04/29/smarter-living/unconscious-bias-trust.html
Live Briefing: 2018 Tony Award Nominations: What to Watch For,"Tue, 01 May 2018 09:00:09 GMT",https://www.nytimes.com/2018/05/01/theater/tony-award-nominations.html
Nonfiction: How Rodgers and Hammerstein Created Modern Musical Theater,"Tue, 01 May 2018 09:00:07 GMT",https://www.nytimes.com/2018/05/01/books/review/something-wonderful-todd-s-purdum.html
Does the Ending of ‘Avengers: Infinity War’ Spoil Itself?,"Mon, 30 Apr 2018 15:47:57 GMT",https://www.nytimes.com/2018/04/30/movies/avengers-infinity-war-ending.html
Best of Late Night: Michelle Wolf’s Old Late-Night Bosses Come to Her Defense,"Tue, 01 May 2018 09:41:35 GMT",https://www.nytimes.com/2018/05/01/arts/television/michelle-wolf-seth-meyers-trevor-noah.html
How to Make the Most of the Frieze Week Art Fairs,"Mon, 30 Apr 2018 15:38:45 GMT",https://www.nytimes.com/2018/04/30/arts/design/1-54-contemporary-african-art-frieze-tefaf-fairs.html
Creepy or Not? Your Privacy Concerns Probably Reflect Your Politics ,"Tue, 01 May 2018 10:11:57 GMT",https://www.nytimes.com/2018/04/30/technology/privacy-concerns-politics.html
 The New Old Age: Wheelchairs Prohibited in the Last Place You’d Expect,"Mon, 30 Apr 2018 14:35:58 GMT",https://www.nytimes.com/2018/04/30/health/wheelchairs-assisted-living.html
Trilobites: How a Rose Blooms: Its Genome Reveals the Traits for Scent and Color,"Mon, 30 Apr 2018 15:19:06 GMT",https://www.nytimes.com/2018/04/30/science/rose-genome-gene-editing.html
Adolescence: Parenting the Fortnite Addict,"Mon, 30 Apr 2018 21:34:05 GMT",https://www.nytimes.com/2018/04/30/well/family/parenting-the-fortnite-addict.html
